,features,Classifier,accuracy,precision_micro,recall_micro,f1_micro
0,AAC,ET,0.523,0.523,0.523,0.523
1,AAC,NB,0.469,0.469,0.469,0.469
2,AAC,KNN,0.457,0.457,0.457,0.457
3,AAC,LR,0.533,0.533,0.533,0.533
4,AAC,RF,0.547,0.547,0.547,0.547
5,AAC,SVM,0.505,0.505,0.505,0.505
6,DPC,ET,0.49,0.49,0.49,0.49
7,DPC,NB,0.484,0.484,0.484,0.484
8,DPC,KNN,0.384,0.384,0.384,0.384
9,DPC,LR,0.457,0.457,0.457,0.457
10,DPC,RF,0.462,0.462,0.462,0.462
11,DPC,SVM,0.462,0.462,0.462,0.462
12,MBauto,ET,0.439,0.439,0.439,0.439
13,MBauto,NB,0.349,0.349,0.349,0.349
14,MBauto,KNN,0.387,0.387,0.387,0.387
15,MBauto,LR,0.491,0.491,0.491,0.491
16,MBauto,RF,0.455,0.455,0.455,0.455
17,MBauto,SVM,0.448,0.448,0.448,0.448
18,Moranauto,ET,0.474,0.474,0.474,0.474
19,Moranauto,NB,0.382,0.382,0.382,0.382
20,Moranauto,KNN,0.325,0.325,0.325,0.325
21,Moranauto,LR,0.425,0.425,0.425,0.425
22,Moranauto,RF,0.479,0.479,0.479,0.479
23,Moranauto,SVM,0.446,0.446,0.446,0.446
24,Gearyauto,ET,0.465,0.465,0.465,0.465
25,Gearyauto,NB,0.37,0.37,0.37,0.37
26,Gearyauto,KNN,0.311,0.311,0.311,0.311
27,Gearyauto,LR,0.439,0.439,0.439,0.439
28,Gearyauto,RF,0.477,0.477,0.477,0.477
29,Gearyauto,SVM,0.448,0.448,0.448,0.448
30,CTD,ET,0.533,0.533,0.533,0.533
31,CTD,NB,0.418,0.418,0.418,0.418
32,CTD,KNN,0.42,0.42,0.42,0.42
33,CTD,LR,0.401,0.401,0.401,0.401
34,CTD,RF,0.533,0.533,0.533,0.533
35,CTD,SVM,0.448,0.448,0.448,0.448
36,SOCN,ET,0.462,0.462,0.462,0.462
37,SOCN,NB,0.316,0.316,0.316,0.316
38,SOCN,KNN,0.403,0.403,0.403,0.403
39,SOCN,LR,0.403,0.403,0.403,0.403
40,SOCN,RF,0.439,0.439,0.439,0.439
41,SOCN,SVM,0.453,0.453,0.453,0.453
42,QSO,ET,0.474,0.474,0.474,0.474
43,QSO,NB,0.37,0.37,0.37,0.37
44,QSO,KNN,0.406,0.406,0.406,0.406
45,QSO,LR,0.448,0.448,0.448,0.448
46,QSO,RF,0.484,0.484,0.484,0.484
47,QSO,SVM,0.448,0.448,0.448,0.448
48,PAAC,ET,0.526,0.526,0.526,0.526
49,PAAC,NB,0.484,0.484,0.484,0.484
50,PAAC,KNN,0.403,0.403,0.403,0.403
51,PAAC,LR,0.526,0.526,0.526,0.526
52,PAAC,RF,0.54,0.54,0.54,0.54
53,PAAC,SVM,0.448,0.448,0.448,0.448
54,APAAC,ET,0.512,0.512,0.512,0.512
55,APAAC,NB,0.526,0.526,0.526,0.526
56,APAAC,KNN,0.457,0.457,0.457,0.457
57,APAAC,LR,0.57,0.57,0.57,0.57
58,APAAC,RF,0.542,0.542,0.542,0.542
59,APAAC,SVM,0.54,0.54,0.54,0.54
